trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.002, 'e': 0.8693582353988059}",20,8,-15.198303453668357,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-65.31617924817505,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.002, 'e': 0.865887748059205}",25,3,-95.16159336836475,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 1}",1
73,False,"{'a': 0.002, 'e': 0.8641577031846428}",35,0,-230.50078818525813,"{0: 19, 1: 4, 2: 7, 3: 2, 4: 3}",0
74,False,"{'a': 0.002, 'e': 0.8624311149420455}",30,0,-91.7131970962395,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-98.47659762977021,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.8589882807411234}",25,0,-121.22187644159453,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8572720210114575}",25,0,-131.89676264332843,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.002, 'e': 0.8555591903710185}",20,0,-88.29226288989226,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.8538497819684817}",20,14,9.913032354799538,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.002, 'e': 0.8521437889662113}",25,0,-115.69541745301021,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
81,False,"{'a': 0.002, 'e': 0.850441204540233}",20,0,-121.89491394164541,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
82,False,"{'a': 0.002, 'e': 0.8487420218802068}",25,0,-87.96311807507999,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
83,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-16.828247630319282,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-170.47108433733658,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
85,False,"{'a': 0.002, 'e': 0.8436648165963837}",30,0,-201.79919153524932,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
86,False,"{'a': 0.002, 'e': 0.8419791731684999}",25,19,4.916274608048157,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.002, 'e': 0.8402968976584314}",20,0,-34.911467724075486,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.002, 'e': 0.838617983337074}",30,0,-120.11305588362579,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
89,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,0,-16.509630003188065,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.002, 'e': 0.835270211411272}",25,0,-66.9086173297693,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
91,False,"{'a': 0.002, 'e': 0.8336013404157353}",20,6,-147.45405767542545,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 3}",1
92,False,"{'a': 0.002, 'e': 0.8319358038266718}",20,0,-50.22373709904428,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
